Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_G2M_CHECKPOINT,0.3900910775518097,2.1205210877742684,0.0,0.02837837837837838,0.03,39/55,39.60%,ESPL1;CENPE;KNL1;POLQ;STIL;CDK1;CENPF;TTK;PLK4;MKI67;HMMR;BARD1;TOP2A;CENPA;KIF4A;EXO1;CCNA2;CDC25A;EGF;BUB1;PBK;NUSAP1;KIF23;KIF11;NDC80;BRCA2;MAD2L1;CDC6;TPX2;CDC45;CHEK1;NEK2;CDKN3;PRC1;KIF2C;MEIS1;BIRC5;KIF20B;H2BC12
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.37199282552731844,2.0672202314465284,0.0,0.02364864864864865,0.05,30/61,27.10%,IL1A;CXCL2;AREG;G0S2;CCL20;F3;CCL2;IL6;CXCL3;CXCL10;NR4A3;HBEGF;DUSP2;CD69;NR4A2;PTX3;JUN;OLR1;CD80;CD83;TNFAIP3;PLK2;CXCL11;SERPINB2;DUSP4;NR4A1;IL1B;EGR2;ATF3;DUSP5
prerank,HALLMARK_APICAL_JUNCTION,-0.3742336096765936,-2.007667844951312,0.0,0.011363636363636362,0.01,14/28,24.09%,CLDN9;EGFR;ACTG1;MADCAM1;CD99;ACTG2;CDH11;ACTC1;NHERF4;PTEN;PBX2;ITGB4;ADAMTS5;NLGN3
prerank,HALLMARK_INFLAMMATORY_RESPONSE,0.3783649930911809,1.9349881627799665,0.0,0.03783783783783784,0.11,15/41,15.51%,IL1A;CXCL8;RGS1;CCL20;F3;CCL2;IL6;EREG;CXCL10;HBEGF;MSR1;CD69;ITGB8;OLR1;OSM
prerank,HALLMARK_E2F_TARGETS,0.37740339591328953,1.9017269484466925,0.0,0.03310810810810811,0.12,40/48,51.14%,ESPL1;CENPE;RAD51AP1;BUB1B;CDK1;DEPDC1;DIAPH3;E2F8;PLK4;MKI67;HMMR;BARD1;TOP2A;DLGAP5;KIF4A;MELK;CDC25A;CIT;BRCA2;MAD2L1;CHEK1;ATAD2;SPAG5;CDKN3;KIF2C;SPC24;KIF18B;MTHFD2;BIRC5;SPC25;MCM2;MCM4;TFRC;ORC6;CCNB2;RRM2;CDKN1A;AURKA;CKS2;TK1
prerank,HALLMARK_MITOTIC_SPINDLE,0.3777684227614414,1.8954535888209811,0.02666666666666667,0.030270270270270273,0.14,33/40,48.86%,ESPL1;RAPGEF5;CENPE;ANLN;CDK1;CENPF;TTK;TOP2A;DLGAP5;KIF4A;BUB1;NUSAP1;KIF23;ECT2;KIF11;NDC80;BRCA2;TPX2;NEK2;PRC1;KIF2C;CDC42BPA;KNTC1;ARHGAP5;BIRC5;KIF20B;ABR;NET1;FBXO5;CEP192;CCNB2;OPHN1;AURKA
prerank,HALLMARK_KRAS_SIGNALING_UP,0.32288461189828666,1.422345874236193,0.12987012987012986,0.34684684684684686,0.81,9/27,19.05%,H2BC3;G0S2;CCL20;EREG;CXCL10;HBEGF;TFPI;TNFAIP3;EPHB2
prerank,HALLMARK_XENOBIOTIC_METABOLISM,-0.28249647841674375,-1.3481512000284488,0.11764705882352941,0.6022727272727272,0.61,12/15,49.31%,FBLN1;TTPA;DDC;XDH;ECH1;CDA;FMO1;ESR1;PYCR1;IGF1;PTS;KYNU
prerank,HALLMARK_P53_PATHWAY,0.3114360847177435,1.3409249006863984,0.13924050632911392,0.4432432432432432,0.95,15/25,38.26%,IL1A;HBEGF;H1-2;JUN;TAX1BP3;PLK2;SDC1;TM4SF1;TCN2;ATF3;ERCC5;SLC7A11;PDGFA;DDIT4;TNFSF9
prerank,HALLMARK_MTORC1_SIGNALING,0.29502087926050097,1.3084862872852283,0.16666666666666666,0.4304054054054054,0.96,25/26,65.43%,CDC25A;STARD4;PLOD2;BUB1;SLC7A11;LDLR;DDIT4;MTHFD2;SLC1A4;MCM2;CYP51A1;MCM4;TFRC;RRM2;CDKN1A;AURKA;SLC7A5;HSP90B1;SCD;PSAT1;LGMN;SQLE;ASNS;INSIG1;PHGDH
